source,target,relationship
Algorithms,Competitive Programming,PREREQUISITE_FOR
Algorithms,System Design,PREREQUISITE_FOR

C,Embedded C,PREREQUISITE_FOR
Embedded C,Microcontrollers,PREREQUISITE_FOR
Microcontrollers,Arduino,PREREQUISITE_FOR
Microcontrollers,ESP32,PREREQUISITE_FOR

Arduino,IoT,PREREQUISITE_FOR
ESP32,IoT,PREREQUISITE_FOR

IoT,Sensors,PREREQUISITE_FOR
IoT,MQTT,PREREQUISITE_FOR
MQTT,Edge Computing,PREREQUISITE_FOR

Sensors,DHT11,PREREQUISITE_FOR
Sensors,PIR Sensor,PREREQUISITE_FOR
Sensors,Soil Moisture Sensor,PREREQUISITE_FOR

Raspberry Pi,Edge Computing,PREREQUISITE_FOR
Edge Computing,IoT Solutions,PREREQUISITE_FOR

Operating Systems,Computer Networks,PREREQUISITE_FOR
Computer Networks,Cybersecurity,PREREQUISITE_FOR
Linux,Cybersecurity,PREREQUISITE_FOR
Cybersecurity,Ethical Hacking,PREREQUISITE_FOR

Statistics,Data Science,PREREQUISITE_FOR
Machine Learning,Data Science,PREREQUISITE_FOR
Data Science,MLOps,PREREQUISITE_FOR

MLOps,MLflow,PREREQUISITE_FOR
MLOps,Model Deployment,PREREQUISITE_FOR
Model Deployment,FastAPI,PREREQUISITE_FOR
FastAPI,Production AI Systems,PREREQUISITE_FOR

Agentic AI,Multi-Agent Systems,PREREQUISITE_FOR
LangGraph,Multi-Agent Systems,PREREQUISITE_FOR
Multi-Agent Systems,AI Agents,PREREQUISITE_FOR
